


komoditas,harga
beras,Rp.8.000/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.20.000/kg
cabai rawit hijau,Rp.-/kg
cabai rawit merah,Rp.17.000/kg

Banyuwangi 
komoditas,harga
beras,Rp.10.000/kg
bawang merah ukuran sedang,Rp.32.000/kg
bawang putih ukuran sedang,Rp.18.500/kg
cabai merah besar,Rp.16.500/kg
cabai rawit hijau,Rp.17.500/kg
cabai rawit merah,Rp.26.500/kg

Blitar
komoditas,harga
beras,-/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.9.000/kg
cabai rawit hijau,Rp.8.000/kg
cabai rawit merah,Rp.20.000/kg

Bojonegoro
komoditas,harga
beras,Rp.8.500/kg
bawang merah ukuran sedang,24.000/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.9.500/kg
cabai rawit hijau,-/kg
cabai rawit merah,-/kg

Gresik
komoditas,harga
beras,Rp.8.000/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.15.000/kg
cabai rawit hijau,-/kg
cabai rawit merah,23.000/kg

Jember
komoditas,harga
beras,Rp.10.500/kg
bawang merah ukuran sedang,Rp.34.000/kg
bawang putih ukuran sedang,Rp.18.000/kg
cabai merah besar,Rp.19.000/kg
cabai rawit hijau,Rp.10.000/kg
cabai rawit merah,-/kg

Jombang
komoditas,harga
beras,Rp.9.000/kg
bawang merah ukuran sedang,Rp.15.500/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.19.000/kg
cabai rawit hijau,Rp.10.000/kg
cabai rawit merah,-/kg

Kediri
komoditas,harga
beras,Rp.9.000/kg
bawang merah ukuran sedang,Rp.15.500/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.12.000/kg
cabai rawit hijau,Rp.14.000/kg
cabai rawit merah,Rp.25.500/kg

Madiun
komoditas,harga
beras,Rp.11.000/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,-/kg
cabai rawit hijau,-/kg
cabai rawit merah,-/kg


JAWA TENGAH

Bajarnegara
komoditas,harga
beras,Rp.9.000/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,-/kg
cabai rawit hijau,-/kg
cabai rawit merah,Rp.26.000/kg

Banyumas
komoditas,harga
beras,Rp.10.000/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,-/kg
cabai rawit hijau,-/kg
cabai rawit merah,Rp.26.000/kg

Blora
komoditas,harga
beras,Rp.8.000/kg
bawang merah ukuran sedang,Rp./kg
bawang putih ukuran sedang,-/kg
cabai merah besar,Rp.19.500/kg
cabai rawit hijau,-/kg
cabai rawit merah,Rp.19.500/kg

Boyolali
komoditas,harga
beras,Rp.10.000/kg
bawang merah ukuran sedang,Rp.35.000/kg
bawang putih ukuran sedang,Rp.23.000/kg
cabai merah besar,Rp.25.000/kg
cabai rawit hijau,Rp.11.000/kg
cabai rawit merah,Rp.29.000/kg

Cilacap
komoditas,harga
beras,Rp.12.000/kg
bawang merah ukuran sedang,Rp.28.000/kg
bawang putih ukuran sedang,Rp.23.000/kg
cabai merah besar,Rp.22.000/kg
cabai rawit hijau,Rp.15.000/kg
cabai rawit merah,Rp.31.000/kg

Karanganyar
komoditas,harga
beras,Rp.11.000/kg
bawang merah ukuran sedang,Rp.26.500/kg
bawang putih ukuran sedang,Rp.22.000/kg
cabai merah besar,Rp.24.000/kg
cabai rawit hijau,Rp.19.000/kg
cabai rawit merah,Rp.36.500/kg

Kebumen
komoditas,harga
beras,Rp.9.050/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,-/kg
cabai rawit hijau,-/kg
cabai rawit merah,Rp.-/kg

Klaten
komoditas,harga
beras,Rp.9.050/kg
bawang merah ukuran sedang,-/kg
bawang putih ukuran sedang,-/kg
cabai merah besar,-/kg
cabai rawit hijau,-/kg
cabai rawit merah,Rp.-/kg 

Kudus
komoditas,harga
beras,Rp.8.000/kg
bawang merah ukuran sedang,Rp.35.000/kg
bawang putih ukuran sedang,Rp.23.000/kg
cabai merah besar,Rp.40.000/kg
cabai rawit hijau,Rp.46.000/kg
cabai rawit merah,Rp.47.500/kg

Magelang
komoditas,harga
beras,Rp.9.000/kg
bawang merah ukuran sedang,Rp.35.000/kg
bawang putih ukuran sedang,Rp.23.000/kg
cabai merah besar,Rp.18.000/kg
cabai rawit hijau,Rp.16.000/kg
cabai rawit merah,Rp.23.500/kg


